SKU,color,size�,Main Product Title,Variant Compare At Price,Variant Price,Variant Inventory Qty,Image Src
dupatta-katan-kota-silk-5,Default,MEDIUM,dupatta katan kota & silk,5999,2999,10,https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_5504.jpg?v=1765451735|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_5676.jpg?v=1765451828|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_5675.jpg?v=1765451828|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_5677.jpg?v=1765451828|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_5679.jpg?v=1765451735|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_5680.jpg?v=1765451734
dupatta-katan-kota-silk-4,Default,MEDIUM,dupatta katan kota & silk,5999,2999,10,https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_5502.jpg?v=1765451494|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_5685.jpg?v=1765451579|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_5686.jpg?v=1765451579|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_5690.jpg?v=1765451579|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_5689.jpg?v=1765451579
dupatta-katan-kota-silk-3,Default,MEDIUM,dupatta katan kota & silk,5999,2999,10,https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_5501.jpg?v=1765451146|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_5696.jpg?v=1765451397|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_5694.jpg?v=1765451397|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_5695.jpg?v=1765451397|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_5699_2dafc0a2-81e4-49dc-b00c-d94a72cad125.jpg?v=1765451147
dupatta-katan-kota-silk-2,Default,MEDIUM,dupatta katan kota & silk,5999,2999,10,https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_5500.jpg?v=1765450802|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_5706.jpg?v=1765450930|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_5704.jpg?v=1765450930|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_5705.jpg?v=1765450930|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_5708.jpg?v=1765450800|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_5709.jpg?v=1765450800
dupatta-katan-kota-silk,Default,MEDIUM,dupatta katan kota & silk,5999,2999,10,https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_5499.jpg?v=1765450338|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_5657.jpg?v=1765529050|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_5658.jpg?v=1765529050|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_5663.jpg?v=1765529050|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_5659.jpg?v=1765450498|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_5661_4d7009f5-eab9-4ded-ae74-99677fdc664d.jpg?v=1765450498
dupatta-katan-kota-silk-1,Default,MEDIUM,dupatta katan kota & silk,5999,2999,10,https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_5475.jpg?v=1765448472|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_5524.jpg?v=1765448472|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_5525.jpg?v=1765448472|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_5522.jpg?v=1765448472|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_5523.jpg?v=1765448473
dupatta-chiniya-water-zari-meena-buti-1,Default,MEDIUM,dupatta chiniya water zari  meena buti,7599,3499,10,https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_3132_38b6f56b-7a2d-4dbf-b334-cb0f2610981b.jpg?v=1765443830|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_3339.jpg?v=1765443829|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_3345.jpg?v=1765443829
dupatta-chiniya-water-zari-meena-buti,Default,MEDIUM,dupatta chiniya water zari  meena buti,7599,3499,10,https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_3131_47292d4e-43d9-4c2d-bb80-065692291d61.jpg?v=1765443464|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_3330.jpg?v=1765443464|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_3337.jpg?v=1765443464
dupatta-chiniya-water-crush-color-4,Default,MEDIUM,dupatta chiniya water crush color,7599,3499,10,https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_3141.jpg?v=1765443329|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_3419.jpg?v=1765443329|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_3433.jpg?v=1765443329
dupatta-chiniya-water-crush-color-3,Default,MEDIUM,dupatta chiniya water crush color,7599,3499,10,https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_3139.jpg?v=1765443217|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_3410.jpg?v=1765443218|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_3418.jpg?v=1765443217
dupatta-chiniya-water-crush-color-2,Default,MEDIUM,dupatta chiniya water crush color,7599,3499,10,https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_3137.jpg?v=1765442964|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_3393.jpg?v=1765442964|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_3399.jpg?v=1765442965
dupatta-chiniya-water-crush-color-1,Default,MEDIUM,dupatta chiniya water crush color,7599,3499,10,https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_3136_c8b08fca-25cc-414b-9269-99c2f5c93099.jpg?v=1765442874|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_3382.jpg?v=1765442874|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_3391.jpg?v=1765442876
dupatta-chiniya-water-crush-color,Default,MEDIUM,dupatta chiniya water crush color,7599,3499,10,https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_3135_ad7356f4-c971-4cd7-a870-6e02c0856a93.jpg?v=1765442604|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_3366.jpg?v=1765442603|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_3376.jpg?v=1765442604
saree-katan-silk-11,Default,MEDIUM,saree katan silk,17999,8499,10,https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_7650_f0d95373-c039-4cee-9db2-02b5da5a6aa0.jpg?v=1765359883|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_7766.jpg?v=1765360122|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_7762_c9b1dcfa-b8d3-4243-96f9-3d1b52634485.jpg?v=1765360122|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_7768.jpg?v=1765360122|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_7771_64593f56-584d-41e5-8669-94860e949158.jpg?v=1765360122|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_7770.jpg?v=1765360122
saree-katan-silk-10,Default,MEDIUM,saree katan silk,17999,8499,10,https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_7648.jpg?v=1765359409|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_7742.jpg?v=1765359409|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_7745.jpg?v=1765359721|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_7744.jpg?v=1765359721|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_7743.jpg?v=1765359721
saree-katan-silk-9,Default,MEDIUM,saree katan silk,17999,8499,10,https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_7646.jpg?v=1765358907|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_7724.jpg?v=1765359341|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_7723.jpg?v=1765359341|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_7721.jpg?v=1765359341|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_7722.jpg?v=1765359341
